iter	Passed	Remaining
400	31171	7618
401	31252	7541
402	31328	7462
403	31405	7384
404	31479	7306
405	31557	7228
406	31633	7150
407	31711	7072
408	31788	6995
409	31862	6916
410	31934	6837
411	32013	6760
412	32089	6682
413	32166	6604
414	32246	6526
415	32323	6449
416	32402	6371
417	32481	6294
418	32560	6216
419	32635	6138
420	32710	6060
421	32791	5983
422	32867	5905
423	32946	5827
424	33022	5749
425	33099	5671
426	33176	5594
427	33256	5516
428	33345	5441
429	33426	5363
430	33500	5285
431	33573	5207
432	33650	5129
433	33724	5050
434	33800	4972
435	33874	4894
436	33948	4816
437	34025	4738
438	34102	4660
439	34184	4583
440	34259	4505
441	34338	4428
442	34414	4350
443	34491	4272
444	34567	4194
445	34645	4117
446	34721	4039
447	34802	3961
448	34897	3886
449	34992	3810
450	35079	3733
451	35165	3656
452	35247	3579
453	35328	3501
454	35416	3424
455	35495	3347
456	35574	3269
457	35687	3194
458	35847	3123
459	35953	3048
460	36044	2971
461	36130	2893
462	36213	2815
463	36300	2738
464	36396	2661
465	36501	2584
466	36594	2507
467	36670	2429
468	36750	2350
469	36825	2272
470	36903	2193
471	36994	2116
472	37082	2038
473	37173	1960
474	37249	1882
475	37328	1803
476	37418	1725
477	37500	1647
478	37579	1569
479	37653	1490
480	37728	1411
481	37805	1333
482	37889	1255
483	37962	1176
484	38035	1097
485	38131	1019
486	38307	943
487	38402	865
488	38493	787
489	38594	708
490	38681	630
491	38765	551
492	38850	472
493	38943	394
494	39029	315
495	39108	236
496	39185	157
497	39263	78
498	39350	0
