iter	MultiClass
197	0.3934815534
198	0.3924270396
199	0.3915585701
200	0.3910345644
201	0.390386245
202	0.3891366139
203	0.3885527995
204	0.387740176
205	0.3867917344
206	0.3860617086
207	0.3856303773
208	0.3850409796
209	0.3840255351
210	0.3833597701
211	0.3825958766
212	0.3821481297
213	0.3812902473
214	0.3807696918
215	0.3799674927
216	0.379124349
217	0.3785190611
218	0.3775359156
219	0.3766159821
220	0.3758559757
221	0.3747791415
222	0.3740564321
223	0.3732851616
224	0.3725351182
225	0.3714721479
226	0.370856263
227	0.3700063382
228	0.3688691107
229	0.3684452539
230	0.3678693494
231	0.3670154221
232	0.366705037
233	0.3653135491
234	0.364367291
235	0.3629643657
236	0.3619859467
237	0.3614257412
238	0.3602627512
239	0.3597059602
240	0.3590030772
241	0.358531944
242	0.3577179895
243	0.3572925573
244	0.3562726155
245	0.3555034633
246	0.3548181696
247	0.3541966107
248	0.3534736364
249	0.352866779
250	0.3520816481
251	0.3511572131
252	0.3501445466
253	0.3496476542
254	0.348699353
255	0.3482393833
256	0.347419228
257	0.3466765288
258	0.3454423295
259	0.3449109024
260	0.3445648903
261	0.3438422469
262	0.3429957402
263	0.3420759283
264	0.3413571803
265	0.3403696176
266	0.3394255192
267	0.3381568273
268	0.3376163829
269	0.336871083
270	0.3359428674
271	0.335159675
272	0.3342095798
273	0.3337903813
274	0.332860496
275	0.332066624
276	0.3313769898
277	0.330720056
278	0.3301619957
279	0.3295051752
280	0.3287078712
281	0.3281494829
282	0.3274620421
283	0.3266391893
284	0.3259571239
285	0.3253977897
286	0.3244782502
287	0.3238647288
288	0.323545135
289	0.3229004781
290	0.3222224794
291	0.3215827876
292	0.3209441658
293	0.3203548848
294	0.3199822627
295	0.3194212208
296	0.3186722708
297	0.3179382749
298	0.3174983381
299	0.3168503993
300	0.3162747489
301	0.3158149294
302	0.3149565027
303	0.3145460378
304	0.3138434418
305	0.3129076281
306	0.31215908
307	0.3113779636
308	0.3106070865
309	0.3095757182
310	0.3089632826
311	0.3083462921
312	0.3077058626
313	0.3071865757
314	0.3067117983
315	0.3061664999
316	0.305740653
317	0.3051982516
318	0.3047327061
319	0.3041584146
320	0.3034427221
321	0.3027507436
322	0.3024027692
323	0.3017962963
324	0.3013338701
325	0.3004442817
326	0.2999024672
327	0.2994195528
328	0.2989871693
329	0.2980302189
330	0.2974948165
331	0.2967374933
332	0.296252086
333	0.2957607393
334	0.2948904968
335	0.2945238528
336	0.2937754234
337	0.2929733433
338	0.2923593551
339	0.291678027
340	0.291333991
341	0.2905328686
342	0.2898311794
343	0.289310933
344	0.2886351967
345	0.2879399657
346	0.2873232356
347	0.2868191131
348	0.2859692976
349	0.2855135246
350	0.2850219463
351	0.2846643431
352	0.2840452266
353	0.2834928566
354	0.2828226345
355	0.2822192914
356	0.2815813267
357	0.2809524354
358	0.280359395
359	0.2799774711
360	0.2795625331
361	0.2792037209
362	0.2786475114
363	0.2781744526
364	0.2774077406
365	0.2771126703
366	0.2762989958
367	0.2758310714
368	0.2754021331
369	0.2750385626
370	0.2743810643
371	0.273670907
372	0.2730736771
373	0.2726047687
374	0.2719753625
375	0.2715109067
376	0.2709349569
377	0.2703354379
378	0.2698537846
379	0.2693147816
380	0.268913578
381	0.2685058458
382	0.2680009575
383	0.2670112443
384	0.2666082978
385	0.2660336226
386	0.265470451
387	0.2650299935
388	0.2645926117
389	0.2641984855
390	0.2639134955
391	0.2635446224
392	0.262934518
393	0.2626103357
394	0.2621896929
395	0.2615248176
396	0.261064077
397	0.2605274152
398	0.259993921
399	0.2596019855
400	0.2590143548
401	0.2586314438
402	0.2582026318
403	0.2578943398
404	0.2576137047
405	0.2572158726
406	0.2568377398
407	0.256528734
408	0.2560636926
409	0.2555235149
410	0.2551903784
411	0.2545029868
412	0.2540574237
413	0.2534460444
414	0.2528967489
415	0.2524497848
416	0.2518526055
417	0.2514017289
418	0.2511355184
419	0.2507976871
420	0.2504077874
421	0.2500424195
422	0.2495826255
423	0.2490789909
424	0.2486828669
425	0.2482720148
426	0.2476865763
427	0.2472221532
428	0.2466111473
429	0.2459980582
430	0.2455591801
431	0.2453857894
432	0.2449762521
433	0.2446754619
434	0.244076356
435	0.2434796241
436	0.2431678254
437	0.2427881482
438	0.2424394248
439	0.2421978154
440	0.2418829126
441	0.2414792674
442	0.2409288152
443	0.2403912406
444	0.2400672543
445	0.2396477406
446	0.2390659388
447	0.2387710921
448	0.2383445491
449	0.2377387273
450	0.2372880045
451	0.2368588376
452	0.2366188623
453	0.2361681388
454	0.2358908205
455	0.2353776844
456	0.2348175946
457	0.2343893229
458	0.2339095563
459	0.2336260195
460	0.2330241079
461	0.2327297196
462	0.2324559985
463	0.232239047
464	0.2318174606
465	0.231333545
466	0.2310462206
467	0.2307863944
468	0.2303681661
469	0.2300348588
470	0.2294525946
471	0.2292383722
472	0.2289386344
473	0.2284600788
474	0.2282013894
475	0.2278827488
476	0.2274315855
477	0.2269440485
478	0.2263574771
479	0.2260252101
480	0.2257361207
481	0.225332206
482	0.2249217159
483	0.2246072998
484	0.2242705917
485	0.2239285502
486	0.2234282193
487	0.2232488974
488	0.2228012948
489	0.2224904745
490	0.2222435277
491	0.2219346994
492	0.2216896804
493	0.2213921946
494	0.2210205366
495	0.2207734472
496	0.2202448233
497	0.2196271701
498	0.2191931633
