iter	MultiClass
0	1.813821133
1	1.698402452
2	1.605131569
3	1.525236968
4	1.455770045
5	1.394317339
6	1.33816894
7	1.287945062
8	1.24434774
9	1.201115961
10	1.165219854
11	1.131018326
12	1.099098341
13	1.07094953
14	1.046521921
15	1.022005378
16	0.9983837882
17	0.9751890613
18	0.9562275534
19	0.936968654
20	0.9169307923
21	0.8989406513
22	0.8827144238
23	0.8671222675
24	0.8524593211
25	0.8386677242
26	0.8255036425
27	0.8124295438
28	0.8008989225
29	0.79047568
30	0.7802207908
31	0.769190517
32	0.7609826093
33	0.7507245597
34	0.7415708833
35	0.7319893069
36	0.7242777533
37	0.7151362047
38	0.7076653272
39	0.7001870721
40	0.6937244359
41	0.6874607504
42	0.6804463206
43	0.6738342835
44	0.6670073866
45	0.6606529622
46	0.6545674377
47	0.6492534452
48	0.6437607165
49	0.6386614599
50	0.6344464064
51	0.6298594662
52	0.6259325033
53	0.6210891971
54	0.6162576287
55	0.613127487
56	0.6091384088
57	0.6051532747
58	0.6017326963
59	0.597440947
60	0.5940401078
61	0.5908958536
62	0.5884036983
63	0.5851113837
64	0.5825388777
65	0.5790138425
66	0.5757449226
67	0.5727911999
68	0.5705116364
69	0.568038419
70	0.5646808325
71	0.5618096709
72	0.5586966951
73	0.5563206312
74	0.5534483521
75	0.5510851288
76	0.5483402672
77	0.5465738689
78	0.5446473014
79	0.542798283
80	0.5401165574
81	0.5377840963
82	0.5356231574
83	0.5327801517
84	0.5308383458
85	0.5294054823
86	0.5278128799
87	0.5260792305
88	0.5236687524
89	0.5213930407
90	0.5197553028
91	0.5174663878
92	0.5155496184
93	0.5131516993
94	0.5114099551
95	0.5095641413
96	0.508201316
97	0.5060201019
98	0.5048678248
99	0.5039029872
100	0.5021757424
101	0.5005329144
102	0.4994285482
103	0.4983894362
104	0.4968472455
105	0.4955469314
106	0.4949105731
107	0.4934748042
108	0.4920280564
109	0.4902559658
110	0.4886239698
111	0.4869379249
112	0.4855281967
113	0.4835387729
114	0.481640284
115	0.4799951373
116	0.4790679489
117	0.4779816936
118	0.4763575058
119	0.4752456892
120	0.4736527883
121	0.472338553
122	0.4709954247
123	0.4693242341
124	0.4682541078
125	0.4668110383
126	0.4657602842
127	0.4639812907
128	0.4629518846
129	0.4618218604
130	0.4611442171
131	0.4594560279
132	0.4579175041
133	0.4566642802
134	0.4548137586
135	0.4539470175
136	0.4522146168
137	0.450829861
138	0.4496872983
139	0.448539676
140	0.4469008069
141	0.4458346651
142	0.445130605
143	0.4440364202
144	0.4426995303
145	0.442178014
146	0.4407438279
147	0.4396198155
148	0.4382516794
149	0.4374767041
150	0.4361364405
151	0.4348812592
152	0.433731793
153	0.4323870955
154	0.4313620273
155	0.4303520368
156	0.4293445972
157	0.4283405334
158	0.427454777
159	0.4262258186
160	0.4251177958
161	0.4240837057
162	0.4233479654
163	0.4225611089
164	0.4218434965
165	0.4206245781
166	0.4195302137
167	0.4190174758
168	0.4183071316
169	0.4170716313
170	0.416269351
171	0.4150951058
172	0.4145737165
173	0.4139387495
174	0.4125729321
175	0.4119292031
176	0.4113262045
177	0.4106825331
178	0.409033554
179	0.408062747
180	0.4070982257
181	0.4067018752
182	0.4056823877
183	0.4049206366
184	0.4041362759
185	0.4032815729
186	0.4023806203
187	0.401514371
188	0.4004321348
189	0.3996516886
190	0.398943121
191	0.3981108646
192	0.3974585372
193	0.39681095
194	0.3961721885
195	0.3952711034
196	0.3942617195
